replicate,batch size,summarization rate (abstracts/sec.),max memory allocated (bytes)
1,1,0.0950313985317331,3505808384
2,1,0.1118119610897696,3497157120
3,1,0.1466735134212565,3486933504
4,1,0.1052827968581044,3500696064
5,1,0.1218808000151647,3494011392
6,1,0.1165146154037047,3505021440
7,1,0.1107562606199739,3508954112
8,1,0.1257386585794715,3503841792
9,1,0.0961812960781322,3508167680
10,1,0.1230066764557191,3498336768
1,2,0.164141216229825,3722057728
2,2,0.1700206766478406,3713831424
3,2,0.1813324940360027,3748145152
4,2,0.1790716618479478,3702711808
5,2,0.1509418408490872,3728318976
6,2,0.1689138747797638,3727507456
7,2,0.1454058513350841,3753585152
8,2,0.135964109027705,3772529664
9,2,0.169532370524742,3714053120
10,2,0.1529963005410894,3722057728
1,3,0.1905962767631189,3960344064
2,3,0.2027602366395933,3933661184
3,3,0.1941069671128336,3979682304
4,3,0.1995932022148026,3959712256
5,3,0.1884128778579584,3959802368
6,3,0.2209956737023741,3916037632
7,3,0.1853080047344221,3971447808
8,3,0.1967145393650542,3960718848
9,3,0.2032283497869643,4008228352
10,3,0.1887789524033618,3958697472
1,4,0.2388226486821243,4175268864
2,4,0.2634962338522291,4147639808
3,4,0.236401890345335,4184462848
4,4,0.2546934292370204,4136726016
5,4,0.2740102105393833,4112768512
6,4,0.2275149496340072,4191689216
7,4,0.2271671353311682,4188903424
8,4,0.2164522743329599,4184577536
9,4,0.2144929427143437,4185839104
10,4,0.2432180307409889,4180972032
1,5,0.247004476090832,4460685824
2,5,0.269655867545483,4428135424
3,5,0.2831398943809476,4418478080
4,5,0.2599114354936472,4448886784
5,5,0.2830123737347871,4387229696
6,5,0.2668431444649603,4418478080
7,5,0.2620181254008152,4415866368
8,5,0.2796147476929133,4410426368
9,5,0.2957753145338485,4369584640
10,5,0.2762799414854182,4393006080
1,6,0.2771278323155879,4668817408
2,6,0.2585619509629847,4673536512
3,6,0.2941609003582458,4638926336
4,6,0.3086666122768345,4568566272
5,6,0.2682822217799503,4737428992
6,6,0.2611884140730829,4678139904
7,6,0.2784123006569861,4662593536
8,6,0.239888682331992,4736503296
9,6,0.2913010537576206,4661662720
10,6,0.2720643563081609,4669914112
1,7,0.3059838125263974,4845480448
2,7,0.2946914290565948,4962055168
3,7,0.2984100919874573,4889529856
4,7,0.3111520136532682,4881270272
5,7,0.3094177413008045,4928738304
6,7,0.2974705468292655,4870258688
7,7,0.2934128434256524,4962055168
8,7,0.2922275475218545,4940252672
9,7,0.279831099412138,4910180352
10,7,0.2931255655425957,4924261888
1,8,0.3300987231762661,5109868032
2,8,0.3662794527786585,5058183168
3,8,0.3131858642299044,5208126464
4,8,0.3045972551245343,5209902080
5,8,0.313346082401214,5200849408
6,8,0.3187667695605309,5184560640
7,8,0.3065343168761403,5157921280
8,8,0.3122069581128127,5219308032
9,8,0.3250933480021225,5094200832
10,8,0.3289670202863554,5178766848
1,9,0.3464720282664312,5356644352
2,9,0.3336951367819882,5405214720
3,9,0.3089944907015969,5457211904
4,9,0.2983804222037015,5409469440
5,9,0.3449527157251706,5314458624
6,9,0.3155206538433182,5443296256
7,9,0.3338989628653649,5350346240
8,9,0.2987420993258807,5457211904
9,9,0.3104349836464364,5354015744
10,9,0.3245580874023012,5454153216
1,10,0.3576696511176342,5563078144
2,10,0.3138728666461078,5678310912
3,10,0.345213817010382,5556178432
4,10,0.3182188392884259,5677590016
5,10,0.3295483201344811,5583718400
6,10,0.3913927202516504,5516339200
7,10,0.3462709805480318,5618384896
8,10,0.3626119366857436,5520271872
9,10,0.3873969372392684,5453348352
10,10,0.3795851677966416,5433889280
1,11,0.3748565252364313,5702329856
2,11,0.39408058032637,5732793856
3,11,0.383104543296876,5728995328
4,11,0.3531468606316054,5876350976
5,11,0.3444450660838804,5846025728
6,11,0.3484326310048943,5915201536
7,11,0.3460490434875831,5791847424
8,11,0.3247933849506241,5914218496
9,11,0.3534803373504907,5880517632
10,11,0.3763011868198264,5721465344
1,12,0.3826106563412996,6037047296
2,12,0.396121202413652,6065664000
3,12,0.3534560476755982,6079621120
4,12,0.3681562574183836,6049712128
5,12,0.3461097960803394,6149684736
6,12,0.3550112340013326,6071132672
7,12,0.3614993317652627,6131046912
8,12,0.3501365664131202,6111065600
9,12,0.3600860314875015,6108227584
10,12,0.3574760305479415,6065553408
1,13,0.3712207435078881,6278881792
2,13,0.3823989950577917,6202485760
3,13,0.3736085542652708,6212710912
4,13,0.3458045612278645,6310879232
5,13,0.34608701357661,6391660032
6,13,0.3540742500576948,6392577536
7,13,0.3561985231486422,6392577536
8,13,0.3805858682282776,6212710912
9,13,0.4113536834848872,6120679936
10,13,0.3745411701769275,6335418880
1,14,0.4105408341998637,6370750976
2,14,0.3735724593811702,6629646336
3,14,0.417329606481218,6337908736
4,14,0.3642645909928516,6630616064
5,14,0.363109280328624,6536453632
6,14,0.3949005089426249,6474859008
7,14,0.3772253548963965,6452937216
8,14,0.3848618956111752,6505040384
9,14,0.3885087482234778,6596014080
10,14,0.3962080214753168,6452937216
1,15,0.3820397881398512,6776099840
2,15,0.3642390524808201,6900285440
3,15,0.3900424238810339,6723076096
4,15,0.3768738162109373,6752707584
5,15,0.375234048021968,6776099840
6,15,0.365226307457452,6799802880
7,15,0.3671165937662484,6798182912
8,15,0.3655637864489661,6823634432
9,15,0.3904577947495369,6758302208
10,15,0.3808093227083752,6841332736
1,16,0.4048201115703355,7030092288
2,16,0.4191318672152362,6842326016
3,16,0.3939712027830347,6960871424
4,16,0.3706652168752721,7105604608
5,16,0.3776686340991236,7106030592
6,16,0.3896192542060007,6986124800
7,16,0.3831839383947192,6986124800
8,16,0.3836856047860532,7030092288
9,16,0.3794052223351014,7105604608
10,16,0.39525015880214,6948687872
1,17,0.4241855087404081,7099717632
2,17,0.3700141831084478,7344763904
3,17,0.3830847889720495,7217225216
4,17,0.3622244330722352,7344546304
5,17,0.4050790106160356,7346429440
6,17,0.4142936157006299,7204435456
7,17,0.3837609031020292,7344721920
8,17,0.3712772620737976,7344763904
9,17,0.4066254859842593,7344546304
10,17,0.4039895082901432,7256966144
1,18,0.3914456117858669,7463541760
2,18,0.4283023168502793,7365956096
3,18,0.3761506266220783,7586085888
4,18,0.3667217925456272,7541254144
5,18,0.3856528074605111,7555414016
6,18,0.3802332747975523,7597888512
7,18,0.4275113792192376,7331472896
8,18,0.4057731510350117,7406175744
9,18,0.4260967130604137,7507622912
10,18,0.372677937551046,7597888512
1,19,0.4067178243240164,7823059456
2,19,0.4066491310174706,7684881920
3,19,0.4069656095611224,7797903360
4,19,0.3715759242022026,7827792896
5,19,0.4435099741736283,7476579328
6,19,0.4015053203551093,7753861632
7,19,0.3636104999812495,7827792896
8,19,0.4223968769638799,7582472704
9,19,0.3949214709705539,7823059456
10,19,0.4047875422990549,7648450560
1,20,0.3987473263393615,8059261440
2,20,0.4092465519240764,7956457472
3,20,0.3697276539081898,8060293632
4,20,0.4116362985749318,7948592128
5,20,0.3985709432360418,8027919360
6,20,0.4520881964382401,7744625152
7,20,0.392560627393079,8058714624
8,20,0.4159949514528711,7815417344
9,20,0.4143577843528077,7989080576
10,20,0.4162351528125776,7869426176
1,21,0.4046251181162089,8218062848
2,21,0.4062516543682448,8342112256
3,21,0.4435788673341566,8004241408
4,21,0.4267847149161438,8092916736
5,21,0.3895768869345679,8315706880
6,21,0.4119479982274527,8168765952
7,21,0.3887977234986112,8342112256
8,21,0.4434393889089515,8069558272
9,21,0.4366490278568339,8028384256
10,21,0.3841336564377953,8315706880
1,22,0.4296221531893647,8453988352
2,22,0.4381784193623215,8462640640
3,22,0.4185671230660693,8496199680
4,22,0.3959875279578225,8548182528
5,22,0.4260957755440571,8480140288
6,22,0.3846034514453357,8540512768
7,22,0.4383304887582223,8314796544
8,22,0.4099152533608677,8418604032
9,22,0.4280720156062726,8401036288
10,22,0.3915087543371824,8548182528
1,23,0.433984794589046,8502173696
2,23,0.4142690625758833,8592632320
3,23,0.4294144464434733,8683090944
4,23,0.4134991448939504,8701341696
5,23,0.4405905182194235,8502173696
6,23,0.4366967436939507,8522833408
7,23,0.3990672564129983,8737365504
8,23,0.4090047283961879,8773548032
9,23,0.3996299411000539,8773548032
10,23,0.3827834153636451,8773548032
1,24,0.4137844689636698,8837714944
2,24,0.4392449099242737,8902895616
3,24,0.4017773907151255,9004478976
4,24,0.4267166297167382,9026112512
5,24,0.375503319681109,9063204352
6,24,0.3885631975494603,9063814656
7,24,0.4447720445883764,8752422912
8,24,0.419618302161692,9063204352
9,24,0.4043929709884553,8988683264
10,24,0.3701322497027778,9063204352
1,25,0.4616511767959327,8996024832
2,25,0.4506457986765858,9005433856
3,25,0.4358361489683869,9026568192
4,25,0.4697752789764492,8789220864
5,25,0.4457200148067786,9083312640
6,25,0.4191605857720577,9259806208
7,25,0.4312520804039912,9055429120
8,25,0.4374172358599848,9270290944
9,25,0.4213346793849969,9270851584
10,25,0.4438223822298085,9084304384
1,26,0.4332980852190629,9204529664
2,26,0.4255773946018291,9491653120
3,26,0.4026780821433732,9491122688
4,26,0.4256760516441857,9461136384
5,26,0.4126574459332258,9491106304
6,26,0.4239624954823318,9491122688
7,26,0.425101432414007,9429769216
8,26,0.4343438592407511,9265305088
9,26,0.4177434363213367,9490371072
10,26,0.4396722255160815,9347538944
1,27,0.4321246830090785,9728473600
2,27,0.4183603792846868,9695084544
3,27,0.4470663989142077,9695581184
4,27,0.4093574789885404,9610628608
5,27,0.4547221543763419,9397710848
6,27,0.4051010935995973,9727437312
7,27,0.40935718205674,9695581184
8,27,0.4697648428340348,9270096384
9,27,0.423970747222766,9588666880
10,27,0.3966618552511933,9728190464
1,28,0.4330292170552106,9990628352
2,28,0.4706588470150085,9562779648
3,28,0.4330230108693169,9991367680
4,28,0.4774853234483026,9536266752
5,28,0.4224958143572997,9975481344
6,28,0.4383611063076751,9991234560
7,28,0.4143796312561448,9991367680
8,28,0.4355305499960437,9991367680
9,28,0.4285272785900627,9991367680
10,28,0.4193204322182687,9975481344
1,29,0.4711812110594507,9840858624
2,29,0.43925245781324684,10205378560
3,29,0.42617717161513374,10205836800
4,29,0.4604078560273203,9852263424
5,29,0.4273776169657172,10148430848
6,29,0.441207433857328,10103990272
7,29,0.43649776358928133,10115395584
8,29,0.4219225939491358,10114415616
9,29,0.4461411670473455,9912626688
10,29,0.4242274064997975,10045790208
